,Category,lat,lon,Part of month,Observation Date,Impacted Area (ha),Country,Location Name,Data updated on,Soil_Moisture
120,Swarm,-4.17416666666667,37.115,Middle,2021-01-15,150.0,United Republic of Tanzania,Landanai Manyara,Tue Feb  1 16:04:44 2022,0.19900000095367432
121,Band,23.914722222000023,55.41611111100008,Early,2020-05-02,9.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
124,Swarm,-3.78166666666667,37.2977777777778,Middle,2021-01-11,30.0,United Republic of Tanzania,Msitu wa Tembo Olcho,Tue Feb  1 16:04:44 2022,0.3240000009536743
127,Band,23.89527777800004,55.47027777800008,Early,2020-05-04,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0010000000474974513
128,Band,23.62472222200006,55.570555556000045,Early,2020-05-01,5.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
131,Swarm,30.666666667000072,46.30000000000007,Early,2020-03-10,400.0,Iraq,Al Muthanna area 2,Tue Feb  1 16:04:44 2022,0.027000000700354576
135,Band,23.99277777800006,55.57555555600004,Early,2020-05-04,11.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
136,Swarm,30.60000000000008,46.60000000000008,Late,2020-02-22,18.0,Iraq,Jalibah-2,Tue Feb  1 16:04:44 2022,0.09200000017881393
140,Band,23.843333333000032,55.53277777800008,Early,2020-05-08,13.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.00800000037997961
144,Swarm,-2.43527777777778,36.4163888888889,Early,2021-04-03,15.0,United Republic of Tanzania,Arusha Region,Tue Feb  1 16:04:44 2022,0.17900000512599945
145,Band,23.621666667000056,55.56888888900005,Early,2020-05-06,10.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.013000000268220901
165,Swarm,11.4366666666667,42.6930555555556,Late,2021-01-21,100.0,Djibouti,Goubet,Tue Feb  1 16:04:44 2022,0.010999999940395355
172,Band,23.89527777800004,55.40805555600008,Early,2020-05-09,5.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0010000000474974513
177,Swarm,11.42250000000007,42.74527777800006,Late,2020-03-23,50.0,Djibouti,Arta,Tue Feb  1 16:04:44 2022,0.08100000023841858
180,Band,24.08916666700003,55.40388888900003,Early,2020-05-01,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0010000000474974513
184,Swarm,32.28333333300003,42.700000000000045,Early,2020-04-02,25.0,Iraq,Karbala,Tue Feb  1 16:04:44 2022,0.01899999938905239
196,Swarm,3.683333333000064,33.933333333000064,Middle,2020-05-16,100.0,Uganda,Karenga District are,Tue Feb  1 16:04:44 2022,0.34299999475479126
199,Band,23.69166666700005,55.56694444400006,Early,2020-05-04,10.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
207,Swarm,11.2152777777778,42.6477777777778,Early,2021-07-01,5.0,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022,0.0020000000949949026
212,Band,23.767222222000044,55.53416666700008,Early,2020-05-04,12.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
213,Band,24.36222222200007,51.60222222200008,Early,2020-05-03,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
214,Swarm,32.60000000000008,41.900000000000034,Early,2020-04-03,50.0,Iraq,Al Anbar,Tue Feb  1 16:04:44 2022,0.004999999888241291
216,Band,23.58277777800004,55.52138888900004,Early,2020-05-09,13.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.006000000052154064
237,Band,31.416666667000072,44.38333333300005,Middle,2020-04-17,145.0,Iraq,Al Najaf,Tue Feb  1 16:04:44 2022,0.0
250,Band,23.595555556000026,55.54194444400008,Early,2020-05-03,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
253,Band,31.8166666666667,64.55,Early,2020-06-05,3000.0,Afghanistan,Gerishk,Tue Feb  1 16:04:44 2022,0.057999998331069946
254,Band,23.90277777800003,55.49944444400006,Early,2020-05-03,14.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.003000000026077032
255,Band,23.660277778000022,55.54472222200008,Early,2020-05-06,14.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.013000000268220901
260,Swarm,-2.95138888888889,36.0355555555556,Early,2021-03-06,25.0,United Republic of Tanzania,Ererendeni  Engaruka,Tue Feb  1 16:04:44 2022,0.1889999955892563
264,Band,23.945555556000045,55.48527777800007,Middle,2020-04-17,82.0,United Arab Emirates,Al Zahrah,Tue Feb  1 16:04:44 2022,0.0
270,Band,23.953611111000043,55.49277777800006,Early,2020-05-06,8.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.004000000189989805
271,Band,23.621666667000056,55.56888888900005,Early,2020-05-01,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0
273,Band,24.533888889000025,55.76500000000004,Early,2020-05-01,10.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.01600000075995922
275,Swarm,-3.78194444444444,37.2980555555556,Early,2021-01-09,300.0,United Republic of Tanzania,Olichoronyori Manyar,Tue Feb  1 16:04:44 2022,0.16599999368190765
317,Swarm,17.851666667000075,38.34583333300003,Early,2019-01-04,400.0,,Mogal,Tue Feb  1 16:04:44 2022,0.41200000047683716
320,Band,16.791944444000023,31.60111111100008,Early,2019-12-06,600.0,,Wadi,Tue Feb  1 16:04:44 2022,0.017000000923871994
321,Swarm,2.700000000000045,33.58333333300004,Early,2020-02-10,100.0,,Kamrono near Arembwo,Tue Feb  1 16:04:44 2022,0.26499998569488525
324,Band,16.876666667000052,31.62888888900005,Early,2019-12-01,300.0,,Om jwaseer,Tue Feb  1 16:04:44 2022,0.0
335,Band,17.397500000000036,32.76611111100004,Late,2019-11-22,500.0,,Ubalnaga 10,Tue Feb  1 16:04:44 2022,0.019999999552965164
338,Band,21.42833333300007,36.78694444400003,Middle,2019-12-18,300.0,,Hibokwan2,Tue Feb  1 16:04:44 2022,0.009999999776482582
339,Swarm,17.76638888900004,38.35888888900007,Late,2019-02-28,300.0,,Shabri,Tue Feb  1 16:04:44 2022,0.02500000037252903
351,Band,18.745555556000056,37.44388888900005,Late,2019-03-22,200.0,,Dunes,Tue Feb  1 16:04:44 2022,0.023000000044703484
353,Swarm,18.466111111000032,37.60000000000008,Middle,2019-01-18,1000.0,,Waten,Tue Feb  1 16:04:44 2022,0.1550000011920929
354,Swarm,17.973333333000028,38.45027777800004,Middle,2020-01-17,700.0,,Igitai,Tue Feb  1 16:04:44 2022,0.06599999964237213
370,Band,18.70666666700004,37.45472222200004,Late,2019-03-26,700.0,,ashed4,Tue Feb  1 16:04:44 2022,0.01899999938905239
383,Band,17.981388889000073,38.40583333300003,Middle,2019-02-12,300.0,,Balatat,Tue Feb  1 16:04:44 2022,0.164000004529953
385,Band,17.917222222000078,38.32250000000005,Early,2020-02-04,200.0,,Oplai,Tue Feb  1 16:04:44 2022,0.16099999845027924
403,Band,18.071944444000053,38.29833333300007,Late,2019-02-26,200.0,,Adarat,Tue Feb  1 16:04:44 2022,0.012000000104308128
404,Band,16.89250000000004,31.56611111100005,Late,2019-11-23,1000.0,,wadi,Tue Feb  1 16:04:44 2022,0.0
406,Band,20.30888888900006,37.04750000000007,Early,2019-03-06,400.0,,Wadi,Tue Feb  1 16:04:44 2022,0.01600000075995922
409,Band,17.8738888888889,35.8925,Early,2020-10-06,200.0,,Adrota,Tue Feb  1 16:04:44 2022,0.0
412,Swarm,17.76888888900004,38.380833333000055,Late,2019-02-22,200.0,,Khogaly,Tue Feb  1 16:04:44 2022,0.027000000700354576
419,Swarm,1.927500000000066,33.964722222000034,Early,2020-04-06,300.0,,Central cell,Tue Feb  1 16:04:44 2022,0.14499999582767487
420,Swarm,1.7705555560000334,34.59111111100003,Early,2020-04-08,1000.0,,Lokoreto,Tue Feb  1 16:04:44 2022,0.18199999630451202
430,Band,17.9833333333333,36.2783333333333,Early,2020-10-08,400.0,,Amasa,Tue Feb  1 16:04:44 2022,0.0
433,Band,17.815833333000057,38.38388888900005,Late,2019-01-23,100.0,,Habayay,Tue Feb  1 16:04:44 2022,0.06700000166893005
443,Band,21.52416666700003,36.83222222200004,Early,2020-01-05,500.0,,Habikwan,Tue Feb  1 16:04:44 2022,0.02199999988079071
450,Swarm,17.978333333000023,38.434444444000064,Middle,2020-02-17,800.0,,Platat,Tue Feb  1 16:04:44 2022,0.01600000075995922
451,Band,18.223888889000023,38.12777777800005,Late,2019-02-21,200.0,,Aideb,Tue Feb  1 16:04:44 2022,0.0430000014603138
452,Band,18.37972222200005,37.695555556000045,Late,2019-02-25,800.0,,bramio,Tue Feb  1 16:04:44 2022,0.0
456,Swarm,3.307222222000064,32.88666666700004,Early,2020-03-03,100.0,,Akuna cent,Tue Feb  1 16:04:44 2022,0.1379999965429306
473,Band,17.790000000000077,38.38888888900004,Late,2019-02-28,1000.0,,Mrak  Khogly,Tue Feb  1 16:04:44 2022,0.02199999988079071
476,Band,17.832777778000036,38.39805555600003,Late,2019-01-30,200.0,,galai,Tue Feb  1 16:04:44 2022,0.02500000037252903
492,Band,17.75527777800005,38.368611111000064,Late,2019-01-29,200.0,,Shabri,Tue Feb  1 16:04:44 2022,0.04699999839067459
494,Band,18.2177777777778,36.3002777777778,Early,2020-10-09,400.0,,Guhwat Musa,Tue Feb  1 16:04:44 2022,0.0010000000474974513
499,Band,17.478611111000077,32.72416666700008,Middle,2019-11-20,200.0,,Alrogam,Tue Feb  1 16:04:44 2022,0.019999999552965164
500,Band,17.00305555600005,31.55333333300007,Late,2019-11-30,1000.0,,West altmtam,Tue Feb  1 16:04:44 2022,0.0
504,Swarm,1.7333333330000755,34.10000000000008,Late,2020-02-24,100.0,,Ajamaka,Tue Feb  1 16:04:44 2022,0.1120000034570694
505,Band,18.26888888900004,37.66527777800008,Middle,2019-01-19,1000.0,,baharaira,Tue Feb  1 16:04:44 2022,0.0820000022649765
513,Band,18.07722222200005,38.29111111100008,Middle,2019-02-15,200.0,,Adart,Tue Feb  1 16:04:44 2022,0.11699999868869781
527,Swarm,1.6744444440000734,33.638611111000046,Late,2020-02-25,100.0,,Owolo,Tue Feb  1 16:04:44 2022,0.16599999368190765
529,Band,21.70777777800004,36.78027777800003,Middle,2019-12-14,200.0,,Adlwab,Tue Feb  1 16:04:44 2022,0.024000000208616257
532,Swarm,34.1788888888889,36.4205555555556,Late,2021-04-21,100.0,,Aarsal,Tue Feb  1 16:04:44 2022,0.02500000037252903
544,Band,17.95166666700004,38.443333333000055,Middle,2020-02-16,200.0,,Halaibai North,Tue Feb  1 16:04:44 2022,0.020999999716877937
546,Swarm,3.795833333000076,32.761388889000045,Late,2020-02-23,100.0,,Loboni,Tue Feb  1 16:04:44 2022,0.26899999380111694
553,Band,18.723888889000023,37.45166666700004,Middle,2019-03-18,200.0,,Dunes,Tue Feb  1 16:04:44 2022,0.014999999664723873
554,Band,18.637222222000048,37.47666666700008,Late,2019-03-22,1000.0,,serab,Tue Feb  1 16:04:44 2022,0.004000000189989805
560,Band,16.85555555600007,31.60250000000008,Early,2019-12-01,800.0,,Om jwaseer,Tue Feb  1 16:04:44 2022,0.009999999776482582
566,Band,21.58000000000004,36.91500000000008,Late,2019-12-27,300.0,,Habikwan,Tue Feb  1 16:04:44 2022,0.017000000923871994
571,Swarm,3.1550000000000296,32.933333333000064,Early,2020-03-05,100.0,,Wangopok,Tue Feb  1 16:04:44 2022,0.17800000309944153
573,Band,21.72972222200008,36.85277777800008,Early,2020-01-07,500.0,,Wasie,Tue Feb  1 16:04:44 2022,0.017000000923871994
575,Swarm,16.9430555555556,36.4802777777778,Late,2020-09-22,600.0,,South Ody,Tue Feb  1 16:04:44 2022,0.0
588,Swarm,3.640833333000046,33.09138888900003,Early,2020-03-01,100.0,,Locimidik,Tue Feb  1 16:04:44 2022,0.06599999964237213
589,Swarm,21.882222222000053,36.815000000000055,Middle,2020-02-12,1000.0,,Wadi Maroub,Tue Feb  1 16:04:44 2022,0.017000000923871994
606,Band,19.828611111000043,37.17361111100007,Middle,2019-02-17,400.0,,Takamoy,Tue Feb  1 16:04:44 2022,0.0
617,Swarm,18.2805555555556,36.1541666666667,Middle,2020-09-18,1000.0,,kas,Tue Feb  1 16:04:44 2022,0.003000000026077032
622,Band,17.976111111000023,38.445555556000045,Late,2019-02-28,800.0,,East Bolatat,Tue Feb  1 16:04:44 2022,0.006000000052154064
631,Band,17.99750000000006,38.47944444400008,Late,2019-01-25,200.0,,North Bolatat,Tue Feb  1 16:04:44 2022,0.014999999664723873
637,Swarm,21.81222222200006,36.84055555600003,Late,2020-01-29,1000.0,,Wadi Maroub,Tue Feb  1 16:04:44 2022,0.03500000014901161
645,Band,18.17444444400008,38.27583333300004,Early,2020-02-06,200.0,,algga,Tue Feb  1 16:04:44 2022,0.3199999928474426
646,Band,17.83333333300004,38.36166666700007,Early,2020-03-01,200.0,,Gadef,Tue Feb  1 16:04:44 2022,0.18700000643730164
647,Swarm,17.910277778000022,38.31750000000005,Middle,2020-01-18,700.0,,Owbalai,Tue Feb  1 16:04:44 2022,0.12800000607967377
648,Band,17.378333333000057,31.501111111000057,Late,2019-11-29,300.0,,Om alhasn,Tue Feb  1 16:04:44 2022,0.0
652,Swarm,18.20833333300004,38.16250000000008,Late,2019-01-27,1000.0,,mgban2,Tue Feb  1 16:04:44 2022,0.164000004529953
653,Swarm,3.366666667000061,32.75000000000006,Middle,2020-02-19,100.0,,Gogo,Tue Feb  1 16:04:44 2022,0.22100000083446503
654,Band,18.0158333333333,36.2113888888889,Early,2020-10-03,1000.0,,Amasa,Tue Feb  1 16:04:44 2022,0.0
662,Swarm,29.825277778000043,47.961388889000034,Early,2020-03-04,3.0,,Al abdaly area,Tue Feb  1 16:04:44 2022,0.004999999888241291
675,Swarm,2.623333333000062,33.667500000000075,Late,2020-02-27,100.0,,Abuk,Tue Feb  1 16:04:44 2022,0.17100000381469727
682,Swarm,3.3716666670000563,33.05333333300007,Middle,2020-03-11,100.0,,Juba,Tue Feb  1 16:04:44 2022,0.1720000058412552
683,Swarm,17.943611111000052,38.40916666700008,Middle,2020-01-17,1000.0,,south platat,Tue Feb  1 16:04:44 2022,0.07999999821186066
686,Swarm,2.6027777780000747,33.14750000000004,Early,2020-04-09,50.0,,Okwi central,Tue Feb  1 16:04:44 2022,0.12800000607967377
688,Band,17.84027777800003,38.323888889000045,Early,2019-02-09,300.0,,Ayat,Tue Feb  1 16:04:44 2022,0.02500000037252903
693,Swarm,18.25500000000005,37.63277777800005,Late,2020-01-23,500.0,,Bahar aira,Tue Feb  1 16:04:44 2022,0.03200000151991844
700,Swarm,18.28777777800008,37.87027777800006,Early,2019-01-10,1000.0,,shreet,Tue Feb  1 16:04:44 2022,0.289000004529953
702,Band,18.175000000000068,38.28333333300003,Early,2019-03-03,900.0,,Algaga,Tue Feb  1 16:04:44 2022,0.012000000104308128
713,Band,21.52305555600003,36.85833333300008,Middle,2019-12-18,200.0,,Hibokwan1,Tue Feb  1 16:04:44 2022,0.023000000044703484
715,Band,21.59916666700008,36.823888889000045,Middle,2020-01-14,500.0,,Hibikwan,Tue Feb  1 16:04:44 2022,0.017000000923871994
718,Swarm,4.417500000000075,32.54388888900007,Middle,2020-03-16,100.0,,Iluhum,Tue Feb  1 16:04:44 2022,0.17000000178813934
739,Swarm,1.8947222220000413,33.942222222000055,Early,2020-04-07,50.0,,Cheele,Tue Feb  1 16:04:44 2022,0.10400000214576721
744,Band,18.218055556000024,38.11416666700006,Early,2019-02-10,200.0,,aydep,Tue Feb  1 16:04:44 2022,0.09300000220537186
755,Swarm,3.7405555560000607,33.72111111100003,Early,2020-03-04,100.0,,Kipedo vall,Tue Feb  1 16:04:44 2022,0.257999986410141
759,Band,18.35861111100008,37.72500000000008,Middle,2019-02-15,400.0,,Glalma,Tue Feb  1 16:04:44 2022,0.1979999989271164
764,Swarm,2.585833333000039,33.79083333300008,Middle,2020-02-11,100.0,,Angolebwal,Tue Feb  1 16:04:44 2022,0.21799999475479126
775,Swarm,2.5152777780000406,33.94166666700005,Early,2020-04-09,600.0,,Atheder,Tue Feb  1 16:04:44 2022,0.12700000405311584
776,Band,19.84805555600008,37.20083333300005,Late,2019-02-25,300.0,,Takamoy,Tue Feb  1 16:04:44 2022,0.0
782,Band,17.347500000000025,32.23944444400007,Late,2019-11-30,300.0,,Wadi Allben,Tue Feb  1 16:04:44 2022,0.0020000000949949026
791,Band,17.135,36.6975,Early,2020-10-06,400.0,,WestHmshkorab,Tue Feb  1 16:04:44 2022,0.029999999329447746
793,Swarm,17.983055556000068,38.349722222000025,Early,2020-01-08,600.0,,shakat,Tue Feb  1 16:04:44 2022,0.31299999356269836
795,Band,18.472222222000028,37.601944444000026,Middle,2019-03-18,300.0,,Watan,Tue Feb  1 16:04:44 2022,0.023000000044703484
800,Band,18.70277777800004,37.42111111100007,Middle,2019-03-16,200.0,,setrab,Tue Feb  1 16:04:44 2022,0.004000000189989805
805,Swarm,18.2152777777778,36.4291666666667,Late,2020-09-23,800.0,,Asot2,Tue Feb  1 16:04:44 2022,0.0
808,Band,17.91805555600007,38.44944444400005,Middle,2020-02-18,200.0,,Halebai,Tue Feb  1 16:04:44 2022,0.02199999988079071
811,Swarm,3.6375000000000455,34.19055555600005,Late,2020-02-26,100.0,,Meus,Tue Feb  1 16:04:44 2022,0.28700000047683716
817,Swarm,1.970555556000022,34.73527777800007,Early,2020-03-05,607.0,,Acerer,Tue Feb  1 16:04:44 2022,0.2549999952316284
818,Swarm,1.916944444000024,33.88583333300005,Early,2020-04-07,600.0,,Agule,Tue Feb  1 16:04:44 2022,0.14499999582767487
820,Band,16.290555556000072,30.664166667000075,Middle,2019-11-18,400.0,,almazrop3,Tue Feb  1 16:04:44 2022,0.0
826,Swarm,3.685277778000057,33.98500000000007,Late,2020-02-26,100.0,,Nakorichok,Tue Feb  1 16:04:44 2022,0.289000004529953
832,Swarm,3.596388889000025,33.687777778000054,Middle,2020-04-12,50.0,,Kangole,Tue Feb  1 16:04:44 2022,0.13099999725818634
839,Swarm,2.9411111110000547,34.073888889000045,Late,2020-02-24,100.0,,Kamor Sou,Tue Feb  1 16:04:44 2022,0.13300000131130219
849,Band,18.450000000000045,37.60305555600007,Early,2019-03-09,300.0,,Watan,Tue Feb  1 16:04:44 2022,0.020999999716877937
852,Swarm,3.4897222220000685,33.657777778000025,Late,2020-02-24,162.0,,Nakungurit,Tue Feb  1 16:04:44 2022,0.1679999977350235
858,Swarm,1.9666666670000268,34.16666666700007,Early,2020-02-10,100.0,,Katakwi - Param subc,Tue Feb  1 16:04:44 2022,0.17499999701976776
860,Band,17.1347222222222,36.69,Early,2020-10-08,500.0,,Wast Hmash korb,Tue Feb  1 16:04:44 2022,0.02800000086426735
862,Band,17.365277778000063,32.799166667000065,Middle,2019-11-13,300.0,,Gozaabualnga3,Tue Feb  1 16:04:44 2022,0.007000000216066837
863,Band,16.88361111100005,31.665833333000023,Late,2019-11-26,1000.0,,Amjwser,Tue Feb  1 16:04:44 2022,0.0
875,Swarm,2.550000000000068,34.36666666700006,Middle,2020-02-16,100.0,,Lopei sub county (Na,Tue Feb  1 16:04:44 2022,0.08699999749660492
876,Swarm,3.704166667000038,32.60583333300008,Late,2020-02-27,100.0,,Yoke,Tue Feb  1 16:04:44 2022,0.25600001215934753
885,Swarm,1.5905555560000266,33.96388888900003,Early,2020-04-06,4000.0,,Aduka,Tue Feb  1 16:04:44 2022,0.1120000034570694
890,Band,17.260277778000045,32.09055555600003,Early,2019-12-01,400.0,,Eid Almelih,Tue Feb  1 16:04:44 2022,0.008999999612569809
894,Band,18.182222222000064,38.26722222200004,Middle,2019-02-13,200.0,,Adobna,Tue Feb  1 16:04:44 2022,0.16599999368190765
902,Band,17.827500000000043,38.36416666700006,Middle,2020-02-12,200.0,,Gadef,Tue Feb  1 16:04:44 2022,0.33799999952316284
903,Band,18.07444444400005,32.38583333300005,Late,2019-11-21,100.0,,Um herog,Tue Feb  1 16:04:44 2022,0.0
908,Band,18.0408333333333,36.1955555555556,Early,2020-10-07,800.0,,Srobia,Tue Feb  1 16:04:44 2022,0.0020000000949949026
909,Band,18.4325,36.6402777777778,Early,2020-10-04,1000.0,,hayab,Tue Feb  1 16:04:44 2022,0.0010000000474974513
913,Band,17.289166667000075,32.95750000000004,Late,2019-11-25,300.0,,Sdaw,Tue Feb  1 16:04:44 2022,0.026000000536441803
942,Band,20.11222222200007,57.71888888900003,Early,2019-12-02,20.0,Oman,Ashtal 3,Tue Feb  1 16:04:44 2022,0.014999999664723873
975,Band,22.33000000000004,59.746944444000064,Late,2019-12-23,30.0,Oman,Mihaniah,Tue Feb  1 16:04:44 2022,0.004999999888241291
1003,Band,22.309166667000056,59.77138888900004,Early,2019-12-03,20.0,Oman,Wadi Mlahi,Tue Feb  1 16:04:44 2022,0.0
1018,Swarm,18.91277777800008,56.95388888900004,Late,2020-01-21,200.0,Oman,Hitam,Tue Feb  1 16:04:44 2022,0.0
1026,Swarm,22.099444444000028,59.63833333300005,Middle,2019-11-12,10.0,Oman,Ras Rewas,Tue Feb  1 16:04:44 2022,0.028999999165534973
1042,Swarm,23.61777777800006,58.586388889000034,Middle,2020-02-13,200.0,Oman,Old Muscat,Tue Feb  1 16:04:44 2022,0.054999999701976776
1068,Band,17.0944444444444,54.2352777777778,Middle,2020-07-14,20.0,Oman,Arzat,Tue Feb  1 16:04:44 2022,0.10400000214576721
1072,Band,22.26416666700004,59.66555555600007,Early,2019-12-01,10.0,Oman,Abu Fshigah,Tue Feb  1 16:04:44 2022,0.0
1202,Swarm,22.303888889000064,59.73361111100007,Middle,2019-11-18,10.0,Oman,Wadi Milahi,Tue Feb  1 16:04:44 2022,0.023000000044703484
1228,Band,22.236388889000068,59.702222222000046,Late,2019-12-30,30.0,Oman,WAdi Al Shaklah,Tue Feb  1 16:04:44 2022,0.03200000151991844
1311,Band,21.94722222200005,59.53000000000003,Middle,2019-12-12,8.0,Oman,Abu Rahlin,Tue Feb  1 16:04:44 2022,0.01899999938905239
1312,Band,21.94361111100005,59.49194444400007,Early,2019-12-09,30.0,Oman,Rmelah,Tue Feb  1 16:04:44 2022,0.05900000035762787
1367,Band,22.31555555600005,59.759166667000045,Late,2019-12-22,40.0,Oman,Milahi,Tue Feb  1 16:04:44 2022,0.004999999888241291
1381,Band,17.0730555555556,54.2438888888889,Late,2020-07-22,50.0,Oman,Arzat,Tue Feb  1 16:04:44 2022,0.30399999022483826
1442,Band,16.9180555555556,53.8427777777778,Middle,2020-07-11,10.0,Oman,Aftalcut,Tue Feb  1 16:04:44 2022,0.014999999664723873
1453,Band,19.220277778000025,57.55527777800006,Early,2020-03-04,100.0,Oman,Dhahar,Tue Feb  1 16:04:44 2022,0.0
1524,Band,22.06444444400006,36.60694444400008,Late,2019-03-21,300.0,Egypt,Aqlahooq,Tue Feb  1 16:04:44 2022,0.0
1553,Band,22.126111111000057,35.94194444400006,Early,2019-04-02,200.0,Egypt,Diib,Tue Feb  1 16:04:44 2022,0.0
1568,Band,22.3116666666667,35.9477777777778,Early,2021-01-04,50.0,Egypt,Algomodlom,Tue Feb  1 16:04:44 2022,0.02500000037252903
1587,Band,22.386111111000048,36.36277777800007,Late,2019-02-23,500.0,Egypt,Bashweeb,Tue Feb  1 16:04:44 2022,0.012000000104308128
1633,Band,22.069166667000047,36.60861111100007,Late,2019-03-31,300.0,Egypt,Aqlahooq,Tue Feb  1 16:04:44 2022,0.0
1640,Band,22.33750000000004,36.43833333300006,Middle,2019-03-17,100.0,Egypt,Inblaseet,Tue Feb  1 16:04:44 2022,0.017999999225139618
1646,Swarm,27.40611111100003,71.67333333300007,Early,2019-07-08,100.0,India,Satya  NE,Tue Feb  1 16:04:44 2022,0.020999999716877937
1663,Swarm,25.744722222000064,70.74361111100006,Late,2020-05-29,50.0,India,Ajwan,Tue Feb  1 16:04:44 2022,0.007000000216066837
1664,Swarm,25.24916666700005,72.34694444400003,Early,2020-01-04,200.0,India,Bairath,Tue Feb  1 16:04:44 2022,0.1720000058412552
